lat,long,Stability_Class,EPR,NSM,LRR,SCE,ML_Stability_Predicted,Prediction_Confidence
21.8467144764,90.2576192104,Active Erosion,-10.43,-313.73,-13.2,478.69,Active Erosion,1.0
21.8465460602,90.2592038055,Active Erosion,-10.43,-313.73,-13.2,478.69,Active Erosion,1.0
21.8469380289,90.2555156192,Active Erosion,-10.43,-313.73,-13.2,478.69,Active Erosion,1.0
21.8470347362,90.2546055392,Active Erosion,-10.43,-313.73,-13.2,478.69,Active Erosion,1.0
21.8465431972,90.2575213369,Active Erosion,-10.32,-310.46,-13.21,483.33,Active Erosion,1.0
21.8463667034,90.2591819325,Active Erosion,-10.32,-310.46,-13.21,483.33,Active Erosion,1.0
21.8467695413,90.2553914706,Active Erosion,-10.32,-310.46,-13.21,483.33,Active Erosion,1.0
21.846860122,90.2545390431,Active Erosion,-10.32,-310.46,-13.21,483.33,Active Erosion,1.0
21.8463719178,90.2574234636,Active Erosion,-10.2,-306.78,-13.21,487.57,Active Erosion,1.0
21.8461873465,90.2591600596,Active Erosion,-10.2,-306.78,-13.21,487.57,Active Erosion,1.0
21.8466010533,90.2552673221,Active Erosion,-10.2,-306.78,-13.21,487.57,Active Erosion,1.0
21.8466850843,90.2544765295,Active Erosion,-10.2,-306.78,-13.21,487.57,Active Erosion,1.0
21.8462006382,90.2573255904,Active Erosion,-10.08,-303.1,-13.2,491.8,Active Erosion,1.0
21.8460079895,90.2591381867,Active Erosion,-10.08,-303.1,-13.2,491.8,Active Erosion,1.0
21.846432565,90.2551431737,Active Erosion,-10.08,-303.1,-13.2,491.8,Active Erosion,1.0
21.8465100464,90.2544140157,Active Erosion,-10.08,-303.1,-13.2,491.8,Active Erosion,1.0
21.8460293582,90.2572277172,Active Erosion,-10.5,-315.91,-13.69,512.52,Active Erosion,1.0
21.8458286324,90.2591163138,Active Erosion,-10.5,-315.91,-13.69,512.52,Active Erosion,1.0
21.8462639246,90.2550204502,Active Erosion,-10.5,-315.91,-13.69,512.52,Active Erosion,1.0
21.8463518364,90.2541931291,Active Erosion,-10.5,-315.91,-13.69,512.52,Active Erosion,1.0
21.8458615662,90.2570970279,Active Erosion,-11.0,-331.01,-14.24,538.94,Active Erosion,1.0
21.8456492755,90.2590944409,Active Erosion,-11.0,-331.01,-14.24,538.94,Active Erosion,1.0
21.8460952776,90.2548977975,Active Erosion,-11.0,-331.01,-14.24,538.94,Active Erosion,1.0
21.8461994552,90.253917392,Active Erosion,-11.0,-331.01,-14.24,538.94,Active Erosion,1.0
21.8456946664,90.2569579444,Active Erosion,-10.67,-320.88,-14.04,541.02,Active Erosion,1.0
21.8454699186,90.2590725681,Active Erosion,-10.67,-320.88,-14.04,541.02,Active Erosion,1.0
21.8459266304,90.254775145,Active Erosion,-10.67,-320.88,-14.04,541.02,Active Erosion,1.0
21.8460222165,90.2538755906,Active Erosion,-10.67,-320.88,-14.04,541.02,Active Erosion,1.0
21.8454402098,90.2576427081,Active Erosion,-13.08,-393.51,-16.33,540.08,Active Erosion,1.0
21.8452905617,90.2590506953,Active Erosion,-13.08,-393.51,-16.33,540.08,Active Erosion,1.0
21.8457579835,90.2546524931,Active Erosion,-13.08,-393.51,-16.33,540.08,Active Erosion,1.0
21.8458419051,90.2538627117,Active Erosion,-13.08,-393.51,-16.33,540.08,Active Erosion,1.0
21.8452528382,90.2576962433,Active Erosion,-13.44,-404.44,-16.76,543.16,Active Erosion,1.0
21.8451112046,90.2590288226,Active Erosion,-13.44,-404.44,-16.76,543.16,Active Erosion,1.0
21.8455893354,90.2545298406,Active Erosion,-13.44,-404.44,-16.76,543.16,Active Erosion,1.0
21.8456656895,90.2538112743,Active Erosion,-13.44,-404.44,-16.76,543.16,Active Erosion,1.0
21.8450666274,90.2577494466,Active Erosion,-13.83,-416.16,-17.22,547.09,Active Erosion,1.0
21.8449324407,90.2590070221,Active Erosion,-13.83,-416.16,-17.22,547.09,Active Erosion,1.0
21.8454241607,90.2543982457,Active Erosion,-13.83,-416.16,-17.22,547.09,Active Erosion,1.0
21.8454930963,90.2537520277,Active Erosion,-13.83,-416.16,-17.22,547.09,Active Erosion,1.0
21.8449661296,90.2577781603,Active Erosion,-13.96,-420.02,-17.34,546.8,Active Erosion,1.0
21.8447981706,90.2589906478,Active Erosion,-13.96,-420.02,-17.34,546.8,Active Erosion,1.0
21.8454332382,90.2544057671,Active Erosion,-13.96,-420.02,-17.34,546.8,Active Erosion,1.0
21.8455224726,90.2537614595,Active Erosion,-13.96,-420.02,-17.34,546.8,Active Erosion,1.0
21.8450065623,90.2577666081,Active Erosion,-13.79,-414.87,-17.03,544.22,Active Erosion,1.0
21.8447356716,90.258983026,Active Erosion,-13.79,-414.87,-17.03,544.22,Active Erosion,1.0
21.8457080938,90.2546162098,Active Erosion,-13.79,-414.87,-17.03,544.22,Active Erosion,1.0
21.8458753409,90.2538650999,Active Erosion,-13.79,-414.87,-17.03,544.22,Active Erosion,1.0
21.845180604,90.2577168817,Active Erosion,-12.64,-380.09,-15.81,520.16,Active Erosion,1.0
21.8447307102,90.2589824209,Active Erosion,-12.64,-380.09,-15.81,520.16,Active Erosion,1.0
21.8461647656,90.2549483343,Active Erosion,-12.64,-380.09,-15.81,520.16,Active Erosion,1.0
21.8464013602,90.2542827432,Active Erosion,-12.64,-380.09,-15.81,520.16,Active Erosion,1.0
21.8454000808,90.2576541737,Active Erosion,-12.04,-362.32,-15.18,518.42,Active Erosion,1.0
21.8447294839,90.25898145,Active Erosion,-12.04,-362.32,-15.18,518.42,Active Erosion,1.0
21.8466046402,90.2552699651,Active Erosion,-12.04,-362.32,-15.18,518.42,Active Erosion,1.0
21.8469565156,90.2545734696,Active Erosion,-12.04,-362.32,-15.18,518.42,Active Erosion,1.0
21.8458544307,90.2570910817,Active Erosion,-9.23,-277.81,-12.62,509.36,Active Erosion,1.0
21.8446885391,90.2589490353,Active Erosion,-9.23,-277.81,-12.62,509.36,Active Erosion,1.0
21.8468730605,90.2554677478,Active Erosion,-9.23,-277.81,-12.62,509.36,Active Erosion,1.0
21.8472531752,90.254861967,Active Erosion,-9.23,-277.81,-12.62,509.36,Active Erosion,1.0
21.8454308815,90.2576453734,Active Erosion,-11.63,-349.97,-14.78,507.29,Active Erosion,1.0
21.8445895299,90.2588706528,Active Erosion,-11.63,-349.97,-14.78,507.29,Active Erosion,1.0
21.8469082955,90.2554937104,Active Erosion,-11.63,-349.97,-14.78,507.29,Active Erosion,1.0
21.8473023924,90.2549197438,Active Erosion,-11.63,-349.97,-14.78,507.29,Active Erosion,1.0
21.8451612558,90.2577224098,Active Erosion,-12.56,-377.77,-15.61,510.93,Active Erosion,1.0
21.8444468849,90.2587577255,Active Erosion,-12.56,-377.77,-15.61,510.93,Active Erosion,1.0
21.8467695522,90.2553914787,Active Erosion,-12.56,-377.77,-15.61,510.93,Active Erosion,1.0
21.847187825,90.2547852515,Active Erosion,-12.56,-377.77,-15.61,510.93,Active Erosion,1.0
21.8448816703,90.2578022915,Active Erosion,-13.52,-406.77,-16.47,514.88,Active Erosion,1.0
21.8443017158,90.2586428001,Active Erosion,-13.52,-406.77,-16.47,514.88,Active Erosion,1.0
21.8466207424,90.2552818297,Active Erosion,-13.52,-406.77,-16.47,514.88,Active Erosion,1.0
21.8470638088,90.2546396674,Active Erosion,-13.52,-406.77,-16.47,514.88,Active Erosion,1.0
21.8446707959,90.2578478208,Active Erosion,-14.11,-424.48,-17.0,514.93,Active Erosion,1.0
21.8441747064,90.2585422514,Active Erosion,-14.11,-424.48,-17.0,514.93,Active Erosion,1.0
21.8465441518,90.2552253949,Active Erosion,-14.11,-424.48,-17.0,514.93,Active Erosion,1.0
21.8469990058,90.2545886449,Active Erosion,-14.11,-424.48,-17.0,514.93,Active Erosion,1.0
21.8445903769,90.2578349537,Active Erosion,-14.25,-428.64,-17.14,515.05,Active Erosion,1.0
21.8440853324,90.2584714837,Active Erosion,-14.25,-428.64,-17.14,515.05,Active Erosion,1.0
21.8466177795,90.2552796466,Active Erosion,-14.25,-428.64,-17.14,515.05,Active Erosion,1.0
21.8470957653,90.2546771816,Active Erosion,-14.25,-428.64,-17.14,515.05,Active Erosion,1.0
21.8445027452,90.2578209326,Active Erosion,-14.38,-432.66,-17.26,513.14,Active Erosion,1.0
21.8440049861,90.2583876432,Active Erosion,-14.38,-432.66,-17.26,513.14,Active Erosion,1.0
21.8466888007,90.2553319778,Active Erosion,-14.38,-432.66,-17.26,513.14,Active Erosion,1.0
21.8471785449,90.2547743573,Active Erosion,-14.38,-432.66,-17.26,513.14,Active Erosion,1.0
21.8443268951,90.2577927965,Active Erosion,-14.78,-444.6,-17.6,513.56,Active Erosion,1.0
21.8438925729,90.2582703413,Active Erosion,-14.78,-444.6,-17.6,513.56,Active Erosion,1.0
21.8466146235,90.2552773211,Active Erosion,-14.78,-444.6,-17.6,513.56,Active Erosion,1.0
21.847127031,90.2547138845,Active Erosion,-14.78,-444.6,-17.6,513.56,Active Erosion,1.0
21.8441068954,90.2577575965,Active Erosion,-15.22,-457.99,-17.97,512.55,Active Erosion,1.0
21.8437632714,90.2581354169,Active Erosion,-15.22,-457.99,-17.97,512.55,Active Erosion,1.0
21.8464637299,90.2551661371,Active Erosion,-15.22,-457.99,-17.97,512.55,Active Erosion,1.0
21.8469913928,90.2545859257,Active Erosion,-15.22,-457.99,-17.97,512.55,Active Erosion,1.0
21.8438868957,90.2577223966,Active Erosion,-15.38,-462.72,-18.08,502.88,Active Erosion,1.0
21.8436339698,90.2580004928,Active Erosion,-15.38,-462.72,-18.08,502.88,Active Erosion,1.0
21.8463122512,90.2550555969,Active Erosion,-15.38,-462.72,-18.08,502.88,Active Erosion,1.0
21.8468011695,90.2545179887,Active Erosion,-15.38,-462.72,-18.08,502.88,Active Erosion,1.0
21.8436668958,90.2576871968,Active Erosion,-15.54,-467.45,-18.19,493.21,Active Erosion,1.0
21.843504668,90.2578655688,Active Erosion,-15.54,-467.45,-18.19,493.21,Active Erosion,1.0
21.8461605677,90.2549452812,Active Erosion,-15.54,-467.45,-18.19,493.21,Active Erosion,1.0
21.846610946,90.2544500513,Active Erosion,-15.54,-467.45,-18.19,493.21,Active Erosion,1.0
21.8433905241,90.2576429775,Active Erosion,-16.13,-485.28,-18.65,492.95,Active Erosion,1.0
21.8433438455,90.2576977541,Active Erosion,-16.13,-485.28,-18.65,492.95,Active Erosion,1.0
21.8458696343,90.2547336934,Active Erosion,-16.13,-485.28,-18.65,492.95,Active Erosion,1.0
21.8463433456,90.2541777643,Active Erosion,-16.13,-485.28,-18.65,492.95,Active Erosion,1.0
21.8431251199,90.2574818107,Active Erosion,-15.79,-475.14,-18.27,475.14,Active Erosion,1.0
21.843130152,90.2574747703,Active Erosion,-15.79,-475.14,-18.27,475.14,Active Erosion,1.0
21.845364402,90.2543487311,Active Erosion,-15.79,-475.14,-18.27,475.14,Active Erosion,1.0
21.8457320293,90.2538343489,Active Erosion,-15.79,-475.14,-18.27,475.14,Active Erosion,1.0
21.8428723644,90.257313306,Active Erosion,-14.86,-447.1,-17.41,447.1,Active Erosion,1.0
21.8429118223,90.2572469498,Active Erosion,-14.86,-447.1,-17.41,447.1,Active Erosion,1.0
21.8448758581,90.2539439371,Active Erosion,-14.86,-447.1,-17.41,447.1,Active Erosion,1.0
21.8450401957,90.253667553,Active Erosion,-14.86,-447.1,-17.41,447.1,Active Erosion,1.0
21.8427071465,90.2572031605,Active Erosion,-14.63,-440.24,-17.15,440.24,Active Erosion,1.0
21.8427885617,90.2570630482,Active Erosion,-14.63,-440.24,-17.15,440.24,Active Erosion,1.0
21.8446902732,90.2537901674,Active Erosion,-14.63,-440.24,-17.15,440.24,Active Erosion,1.0
21.8448067325,90.25358973190001,Active Erosion,-14.63,-440.24,-17.15,440.24,Active Erosion,1.0
21.8425538909,90.2571009901,Active Erosion,-14.64,-440.34,-17.05,440.34,Active Erosion,1.0
21.8426893028,90.2568679514,Active Erosion,-14.64,-440.34,-17.05,440.34,Active Erosion,1.0
21.8445433917,90.2536770269,Active Erosion,-14.64,-440.34,-17.05,440.34,Active Erosion,1.0
21.8446539439,90.2534867581,Active Erosion,-14.64,-440.34,-17.05,440.34,Active Erosion,1.0
21.8424006352,90.2569988199,Active Erosion,-14.69,-441.77,-16.98,441.77,Active Erosion,1.0
21.8425900437,90.2566728545,Active Erosion,-14.69,-441.77,-16.98,441.77,Active Erosion,1.0
21.8443901357,90.2535748558,Active Erosion,-14.69,-441.77,-16.98,441.77,Active Erosion,1.0
21.8445075023,90.2533728588,Active Erosion,-14.69,-441.77,-16.98,441.77,Active Erosion,1.0
21.8422473794,90.2568966498,Active Erosion,-14.73,-443.19,-16.91,443.19,Active Erosion,1.0
21.8424907844,90.2564777582,Active Erosion,-14.73,-443.19,-16.91,443.19,Active Erosion,1.0
21.8442368801,90.2534726852,Active Erosion,-14.73,-443.19,-16.91,443.19,Active Erosion,1.0
21.844361061,90.2532589603,Active Erosion,-14.73,-443.19,-16.91,443.19,Active Erosion,1.0
21.8420941549,90.2567945009,Active Erosion,-14.77,-444.17,-16.83,444.17,Active Erosion,1.0
21.8423915535,90.2562827184,Active Erosion,-14.77,-444.17,-16.83,444.17,Active Erosion,1.0
21.8440837427,90.2533705936,Active Erosion,-14.77,-444.17,-16.83,444.17,Active Erosion,1.0
21.8442125961,90.2531488403,Active Erosion,-14.77,-444.17,-16.83,444.17,Active Erosion,1.0
21.8419734875,90.2567140567,Active Erosion,-14.77,-444.43,-16.76,444.43,Active Erosion,1.0
21.8423232714,90.2561485092,Active Erosion,-14.77,-444.43,-16.76,444.43,Active Erosion,1.0
21.844053705,90.2533505686,Active Erosion,-14.77,-444.43,-16.76,444.43,Active Erosion,1.0
21.844188836,90.2531320685,Active Erosion,-14.77,-444.43,-16.76,444.43,Active Erosion,1.0
21.8419141538,90.2566745013,Active Erosion,-14.81,-445.5,-16.8,445.5,Active Erosion,1.0
21.8423140106,90.2561303071,Active Erosion,-14.81,-445.5,-16.8,445.5,Active Erosion,1.0
21.8442568864,90.2534860227,Active Erosion,-14.81,-445.5,-16.8,445.5,Active Erosion,1.0
21.844400931,90.2532899703,Active Erosion,-14.81,-445.5,-16.8,445.5,Active Erosion,1.0
21.8419074192,90.2566700115,Active Erosion,-15.08,-453.6,-17.16,453.6,Active Erosion,1.0
21.8423510819,90.2562031709,Active Erosion,-15.08,-453.6,-17.16,453.6,Active Erosion,1.0
21.844664505,90.2537688167,Active Erosion,-15.08,-453.6,-17.16,453.6,Active Erosion,1.0
21.8448279632,90.253596809,Active Erosion,-15.08,-453.6,-17.16,453.6,Active Erosion,1.0
21.8419074189,90.256670011,Active Erosion,-16.66,-501.3,-18.72,501.3,Active Erosion,1.0
21.8423910589,90.2562817461,Active Erosion,-16.66,-501.3,-18.72,501.3,Active Erosion,1.0
21.8450860865,90.2541181261,Active Erosion,-16.66,-501.3,-18.72,501.3,Active Erosion,1.0
21.8455279615,90.2537633691,Active Erosion,-16.66,-501.3,-18.72,501.3,Active Erosion,1.0
21.8418921777,90.2566380041,Active Erosion,-18.42,-554.01,-20.45,554.01,Active Erosion,1.0
21.8424063978,90.2563118949,Active Erosion,-18.42,-554.01,-20.45,554.01,Active Erosion,1.0
21.845424008,90.2543981191,Active Erosion,-18.42,-554.01,-20.45,554.01,Active Erosion,1.0
21.8461949211,90.2539091872,Active Erosion,-18.42,-554.01,-20.45,554.01,Active Erosion,1.0
